Run,Assay Type,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioProject,AvgSpotLen,Bases,Bytes,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Alias,ENA_CHECKLIST,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,sex,isolate,INSDC_center_alias,AssemblyName,Description,Breed,tissue,BioSampleModel,dev_stage,label,Age,Biomaterial_provider,strain,disease,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,phenotype,body_site,isolation-source,collection_date,Cultivar,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,instrument_model (run),Isolation_source
ERR953412,WGS,SAMEA3475296,UNIVERSITY OF FLORIDA,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1032475,Illumina HiSeq 2500,unspecified,PAIRED,unspecified,GENOMIC,Equus caballus,ILLUMINA,2016-09-28T00:00:00Z,SAMEA3475296,ERP010944,PRJEB9799,200,48296111000,33540834283,2016-09-01,2018-11-16,Arabian Horse,ERC000011,UNIVERSITY OF FLORIDA,2016-09-01T17:01:09Z,2015-07-05T01:17:11Z,public,ERS786336,ERS786336,Arabian Horse,,,,,Arabian Horse NGS paired end fastq files.,,,,,,,,,,,,,,,,,,,,,
ERR953413,WGS,SAMEA3475316,UNIVERSITY OF FLORIDA,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1032476,Illumina HiSeq 2500,unspecified,PAIRED,unspecified,GENOMIC,Equus caballus,ILLUMINA,2016-09-28T00:00:00Z,SAMEA3475316,ERP010944,PRJEB9799,302,60022316686,36075639534,2016-09-01,2018-11-16,Tennessee Walking Horse,ERC000011,UNIVERSITY OF FLORIDA,2016-09-01T17:01:08Z,2015-08-14T15:53:18Z,public,ERS786337,ERS786337,Tennessee Walking Horse,,,,,Tenessee Walking Horse NGS paired end fastq files.,,,,,,,,,,,,,,,,,,,,,
ERR982786,WGS,SAMEA3504070,UNIVERSITY OF FLORIDA,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1063993,Illumina HiSeq 2500,unspecified,PAIRED,unspecified,GENOMIC,Equus caballus,ILLUMINA,2016-09-28T00:00:00Z,SAMEA3504070,ERP010944,PRJEB9799,302,43035674366,25010313179,2016-09-01,2018-11-16,Native Mongolian Chakouyi Horse,ERC000011,UNIVERSITY OF FLORIDA,2016-09-01T17:01:09Z,2015-08-14T15:54:27Z,public,ERS811219,ERS811219,Native Mongolian Chakouyi Horse,,,,,Native Mongolian Chakouyi Horse NGS paired end fastq files.,,,,,,,,,,,,,,,,,,,,,
ERR982794,WGS,SAMEA3504078,UNIVERSITY OF FLORIDA,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERX1064001,Illumina HiSeq 2500,unspecified,PAIRED,unspecified,GENOMIC,Equus caballus,ILLUMINA,2016-09-28T00:00:00Z,SAMEA3504078,ERP010944,PRJEB9799,302,51243401374,29972790613,2016-09-01,2018-11-16,Mangalarga Marchador Horse,ERC000011,UNIVERSITY OF FLORIDA,2016-09-01T17:01:09Z,2015-08-14T15:54:27Z,public,ERS811227,ERS811227,Mangalarga Marchador Horse,,,,,Mangalarga Marchador Horse NGS paired end fastq files.,,,,,,,,,,,,,,,,,,,,,
SRR1167045,WGS,SAMN02570037,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX469221,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus przewalskii,ILLUMINA,2014-07-10T00:00:00Z,TG1111D2630,SRP035221,PRJNA233533,198,24258688740,16184957994,,,,,,,,,,,,,,,,,,,,,TG1111D2630,,,,,,,,,,,,,,,,
SRR1167049,WGS,SAMN02570038,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX469222,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus przewalskii,ILLUMINA,2014-07-10T00:00:00Z,TG1111D2631,SRP035221,PRJNA233533,198,29448595638,19676256824,,,,,,,,,,,,,,,,,,,,,TG1111D2631,,,,,,,,,,,,,,,,
SRR1167050,WGS,SAMN02570038,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX469222,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus przewalskii,ILLUMINA,2014-07-10T00:00:00Z,TG1111D2631,SRP035221,PRJNA233533,198,27007770834,17927486405,,,,,,,,,,,,,,,,,,,,,TG1111D2631,,,,,,,,,,,,,,,,
SRR1167052,WGS,SAMN02570035,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX469219,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2014-07-10T00:00:00Z,TG1111D2628,SRP035222,PRJNA233529,195,10052254773,7013708282,,,,,,,,,,,,male,,,,,,,,,TG1111D2628,,,,,,,,,,,,,,,,
SRR1167110,WGS,SAMN02570036,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX469220,Illumina HiSeq 2000,,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2014-07-10T00:00:00Z,TG1111D2629,SRP035222,PRJNA233529,198,22832750754,15166129682,,,,,,,,,,,,female,,,,,,,,,TG1111D2629,,,,,,,,,,,,,,,,
SRR515202,WGS,SAMN01047694,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX152739,Illumina HiSeq 2000,Thoroughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb2,SRP013636,PRJNA168142,208,46949126224,31238111077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR515203,WGS,SAMN01047695,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX152741,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb3,SRP013636,PRJNA168142,208,47826739584,32176855739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR515204,WGS,SAMN01047696,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155566,Illumina HiSeq 2000,throughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb4,SRP013636,PRJNA168142,208,46547597616,31183090060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR515206,WGS,SAMN01047698,SEOUL NATIONAL UNIVERSITY,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX155568,Illumina HiSeq 2000,thoroughbred,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2013-06-07T00:00:00Z,thb6,SRP013636,PRJNA168142,208,51010361168,35074350927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
