Run,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Alias,ENA_CHECKLIST,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,SRA_accession,title,AvgSpotLen,Bases,Bytes,INSDC_center_alias,AssemblyName,sex,Description,dangling_references (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE
ERR988497,WGS,PRJEB10532,SAMEA3514286,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069755,Illumina HiSeq 2500,715-660_S2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514286,ERP011795,715-660_NB18,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821435,ERS821435,715-660_NB18,101,606000000,272243242,,,,CGG_1_017010 715-660 Equus caballus Botay Northern Kazakhstan,,,
ERR988499,WGS,PRJEB10532,SAMEA3514287,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069757,Illumina HiSeq 2500,838-64_D2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514287,ERP011795,838-64_NB46,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821436,ERS821436,838-64_NB46,101,606000000,298643219,,,,"CGG_1_017038 838-64 Equus caballus Botay Chelyabinsk region\, Southwestern Russia",,,
ERR988501,WGS,PRJEB10532,SAMEA3514285,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069759,Illumina HiSeq 2500,CDM4_S2_gold_LigB_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERP011795,CDM4,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821434,ERS821434,CDM4,101,606000000,263452786,,,,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",,,
ERR988504,WGS,PRJEB10532,SAMEA3514287,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069762,Illumina HiSeq 2500,838-64_Y2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514287,ERP011795,838-64_NB46,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821436,ERS821436,838-64_NB46,101,606000000,298878735,,,,"CGG_1_017038 838-64 Equus caballus Botay Chelyabinsk region\, Southwestern Russia",,,
ERR988506,WGS,PRJEB10532,SAMEA3514283,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069764,Illumina HiSeq 2500,ABC9926_D2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514283,ERP011795,ABC9779_11850,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821432,ERS821432,ABC9779_11850,101,606000000,267101795,,,,"CGG_1_011850 YT03 / 40 / ABC9779 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988507,WGS,PRJEB10532,SAMEA3514284,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069765,Illumina HiSeq 2500,ABC9779_S2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514284,ERP011795,ABC9926_11849,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821433,ERS821433,ABC9926_11849,101,606000000,265356590,,,,"CGG_1_011849 YT03 / 185 / ABC9926 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988508,WGS,PRJEB10532,SAMEA3514287,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069766,Illumina HiSeq 2500,838-64_Y1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514287,ERP011795,838-64_NB46,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821436,ERS821436,838-64_NB46,101,606000000,297474168,,,,"CGG_1_017038 838-64 Equus caballus Botay Chelyabinsk region\, Southwestern Russia",,,
ERR988511,WGS,PRJEB10532,SAMEA3514287,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069769,Illumina HiSeq 2500,838-64_S2_accuprime_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514287,ERP011795,838-64_NB46,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821436,ERS821436,838-64_NB46,101,606000000,265252370,,,,"CGG_1_017038 838-64 Equus caballus Botay Chelyabinsk region\, Southwestern Russia",,,
ERR988513,WGS,PRJEB10532,SAMEA3514286,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069771,Illumina HiSeq 2500,715-660_Y2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514286,ERP011795,715-660_NB18,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821435,ERS821435,715-660_NB18,101,606000000,267371953,,,,CGG_1_017010 715-660 Equus caballus Botay Northern Kazakhstan,,,
ERR988517,WGS,PRJEB10532,SAMEA3514283,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069775,Illumina HiSeq 2500,ABC9926_D1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514283,ERP011795,ABC9779_11850,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821432,ERS821432,ABC9779_11850,101,606000000,258128988,,,,"CGG_1_011850 YT03 / 40 / ABC9779 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988481,WGS,PRJEB10532,SAMEA3514283,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069739,Illumina HiSeq 2500,ABC9926_Y1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514283,ERP011795,ABC9779_11850,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821432,ERS821432,ABC9779_11850,101,606000000,260255055,,,,"CGG_1_011850 YT03 / 40 / ABC9779 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988484,WGS,PRJEB10532,SAMEA3514284,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069742,Illumina HiSeq 2500,ABC9779_D1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514284,ERP011795,ABC9926_11849,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821433,ERS821433,ABC9926_11849,101,606000000,295561373,,,,"CGG_1_011849 YT03 / 185 / ABC9926 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988486,WGS,PRJEB10532,SAMEA3514285,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069744,Illumina HiSeq 2500,CDM4_S1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERP011795,CDM4,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821434,ERS821434,CDM4,101,606000000,269085345,,,,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",,,
ERR988488,WGS,PRJEB10532,SAMEA3514284,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069746,Illumina HiSeq 2500,ABC9779_D2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514284,ERP011795,ABC9926_11849,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821433,ERS821433,ABC9926_11849,101,606000000,260199372,,,,"CGG_1_011849 YT03 / 185 / ABC9926 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988489,WGS,PRJEB10532,SAMEA3514284,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069747,Illumina HiSeq 2500,ABC9779_Y2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514284,ERP011795,ABC9926_11849,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821433,ERS821433,ABC9926_11849,101,173294992,72895673,,,,"CGG_1_011849 YT03 / 185 / ABC9926 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988491,WGS,PRJEB10532,SAMEA3514285,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069749,Illumina HiSeq 2500,CDM4_Y2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERP011795,CDM4,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821434,ERS821434,CDM4,101,606000000,269370989,,,,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",,,
ERR988493,WGS,PRJEB10532,SAMEA3514285,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069751,Illumina HiSeq 2500,CDM4_Y1_gold_LigB_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERP011795,CDM4,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821434,ERS821434,CDM4,101,606000000,296171698,,,,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",,,
ERR988495,WGS,PRJEB10532,SAMEA3514285,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069753,Illumina HiSeq 2500,CDM4_Y1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERP011795,CDM4,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821434,ERS821434,CDM4,101,606000000,294534853,,,,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",,,
ERR988496,WGS,PRJEB10532,SAMEA3514285,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069754,Illumina HiSeq 2500,CDM4_Y1_gold_LigB_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERP011795,CDM4,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821434,ERS821434,CDM4,101,606000000,253296879,,,,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",,,
ERR988498,WGS,PRJEB10532,SAMEA3514285,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069756,Illumina HiSeq 2500,CDM4_Y2_gold_LigB_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERP011795,CDM4,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821434,ERS821434,CDM4,101,606000000,265177442,,,,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",,,
ERR988500,WGS,PRJEB10532,SAMEA3514286,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069758,Illumina HiSeq 2500,715-660_Y1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514286,ERP011795,715-660_NB18,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821435,ERS821435,715-660_NB18,101,606000000,297901443,,,,CGG_1_017010 715-660 Equus caballus Botay Northern Kazakhstan,,,
ERR988502,WGS,PRJEB10532,SAMEA3514285,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069760,Illumina HiSeq 2500,CDM4_D1_gold_LigB_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERP011795,CDM4,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821434,ERS821434,CDM4,101,606000000,297684888,,,,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",,,
ERR988503,WGS,PRJEB10532,SAMEA3514283,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069761,Illumina HiSeq 2500,ABC9926_Y1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514283,ERP011795,ABC9779_11850,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821432,ERS821432,ABC9779_11850,101,606000000,301184147,,,,"CGG_1_011850 YT03 / 40 / ABC9779 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988505,WGS,PRJEB10532,SAMEA3514286,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069763,Illumina HiSeq 2500,715-660_D2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514286,ERP011795,715-660_NB18,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821435,ERS821435,715-660_NB18,101,606000000,261120127,,,,CGG_1_017010 715-660 Equus caballus Botay Northern Kazakhstan,,,
ERR988509,WGS,PRJEB10532,SAMEA3514284,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069767,Illumina HiSeq 2500,ABC9779_Y1_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus ferus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514284,ERP011795,ABC9926_11849,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:46Z,public,ERS821433,ERS821433,ABC9926_11849,101,606000000,258178892,,,,"CGG_1_011849 YT03 / 185 / ABC9926 Equus ferus Irish Gulch Central Alaska\, USA",,,
ERR988510,WGS,PRJEB10532,SAMEA3514285,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069768,Illumina HiSeq 2500,CDM4_S2_gold_LigA_6M,SINGLE,RANDOM,GENOMIC,Hippidion saldiasi,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514285,ERP011795,CDM4,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821434,ERS821434,CDM4,101,606000000,272278499,,,,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",,,
ERR988512,WGS,PRJEB10532,SAMEA3514287,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",2015-09-17,2018-11-16,ERX1069770,Illumina HiSeq 2500,838-64_D1_accuprime_LigA_6M,SINGLE,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-09-22T00:00:00Z,SAMEA3514287,ERP011795,838-64_NB46,ERC000011,CENTRE FOR GEOGENETICS,2015-09-17T17:02:10Z,2015-08-24T17:22:47Z,public,ERS821436,ERS821436,838-64_NB46,101,606000000,261487462,,,,"CGG_1_017038 838-64 Equus caballus Botay Chelyabinsk region\, Southwestern Russia",,,
