# Assembly name:  EquCab2.0
# Organism name:  Equus caballus (horse)
# Infraspecific name:  breed=thoroughbred
# Isolate:  Twilight
# Sex:  female
# Taxid:          9796
# BioSample:      SAMN02953672
# BioProject:     PRJNA18661
# Submitter:      The Genome Assembly Team
# Date:           2007-10-29
# Synonyms:       equCab2	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAWR02
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002305.1
# RefSeq assembly accession: GCF_000002305.2
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000165.1	GCF_000000165.1	Primary Assembly
## 	GCF_000215765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold_116	unplaced-scaffold	na	na	AAWR02042940.1	=	NW_001867633.1	Primary Assembly	303885	na
scaffold_129	unplaced-scaffold	na	na	AAWR02043075.1	=	NW_001867776.1	Primary Assembly	237194	na
scaffold_174	unplaced-scaffold	na	na	AAWR02043436.1	=	NW_001868271.1	Primary Assembly	119511	na
scaffold_204	unplaced-scaffold	na	na	AAWR02043617.1	=	NW_001868601.1	Primary Assembly	80913	na
scaffold_250	unplaced-scaffold	na	na	AAWR02043841.1	=	NW_001869107.1	Primary Assembly	61018	na
scaffold_263	unplaced-scaffold	na	na	AAWR02043909.1	=	NW_001869250.1	Primary Assembly	55494	na
scaffold_287	unplaced-scaffold	na	na	AAWR02044020.1	=	NW_001869514.1	Primary Assembly	46151	na
scaffold_291	unplaced-scaffold	na	na	AAWR02044037.1	=	NW_001869558.1	Primary Assembly	45478	na
scaffold_300	unplaced-scaffold	na	na	AAWR02044073.1	=	NW_001869657.1	Primary Assembly	42825	na
scaffold_301	unplaced-scaffold	na	na	AAWR02044074.1	=	NW_001869668.1	Primary Assembly	42640	na
scaffold_317	unplaced-scaffold	na	na	AAWR02044147.1	=	NW_001869844.1	Primary Assembly	39973	na
scaffold_320	unplaced-scaffold	na	na	AAWR02044156.1	=	NW_001869877.1	Primary Assembly	39149	na
scaffold_322	unplaced-scaffold	na	na	AAWR02044161.1	=	NW_001869899.1	Primary Assembly	38722	na
scaffold_325	unplaced-scaffold	na	na	AAWR02044167.1	=	NW_001869932.1	Primary Assembly	38568	na
scaffold_352	unplaced-scaffold	na	na	AAWR02044269.1	=	NW_001870229.1	Primary Assembly	34035	na
scaffold_357	unplaced-scaffold	na	na	AAWR02044292.1	=	NW_001870284.1	Primary Assembly	33487	na
scaffold_359	unplaced-scaffold	na	na	AAWR02044301.1	=	NW_001870306.1	Primary Assembly	33117	na
scaffold_363	unplaced-scaffold	na	na	AAWR02044320.1	=	NW_001870350.1	Primary Assembly	32199	na
scaffold_364	unplaced-scaffold	na	na	AAWR02044321.1	=	NW_001870361.1	Primary Assembly	32171	na
scaffold_365	unplaced-scaffold	na	na	AAWR02044322.1	=	NW_001870372.1	Primary Assembly	31937	na
scaffold_367	unplaced-scaffold	na	na	AAWR02044326.1	=	NW_001870394.1	Primary Assembly	31734	na
scaffold_372	unplaced-scaffold	na	na	AAWR02044352.1	=	NW_001870449.1	Primary Assembly	31016	na
scaffold_375	unplaced-scaffold	na	na	AAWR02044358.1	=	NW_001870482.1	Primary Assembly	30610	na
scaffold_377	unplaced-scaffold	na	na	AAWR02044361.1	=	NW_001870504.1	Primary Assembly	30200	na
scaffold_381	unplaced-scaffold	na	na	AAWR02044368.1	=	NW_001870548.1	Primary Assembly	29703	na
scaffold_384	unplaced-scaffold	na	na	AAWR02044376.1	=	NW_001870581.1	Primary Assembly	29287	na
scaffold_393	unplaced-scaffold	na	na	AAWR02044406.1	=	NW_001870680.1	Primary Assembly	28268	na
scaffold_396	unplaced-scaffold	na	na	AAWR02044413.1	=	NW_001870713.1	Primary Assembly	27967	na
scaffold_399	unplaced-scaffold	na	na	AAWR02044421.1	=	NW_001870746.1	Primary Assembly	27428	na
scaffold_401	unplaced-scaffold	na	na	AAWR02044424.1	=	NW_001870768.1	Primary Assembly	27300	na
scaffold_402	unplaced-scaffold	na	na	AAWR02044425.1	=	NW_001870779.1	Primary Assembly	27042	na
scaffold_412	unplaced-scaffold	na	na	AAWR02044462.1	=	NW_001870889.1	Primary Assembly	26363	na
scaffold_413	unplaced-scaffold	na	na	AAWR02044463.1	=	NW_001870900.1	Primary Assembly	26224	na
scaffold_417	unplaced-scaffold	na	na	AAWR02044473.1	=	NW_001870944.1	Primary Assembly	26031	na
scaffold_418	unplaced-scaffold	na	na	AAWR02044474.1	=	NW_001870955.1	Primary Assembly	25956	na
scaffold_420	unplaced-scaffold	na	na	AAWR02044478.1	=	NW_001870977.1	Primary Assembly	25778	na
scaffold_423	unplaced-scaffold	na	na	AAWR02044484.1	=	NW_001871010.1	Primary Assembly	25538	na
scaffold_424	unplaced-scaffold	na	na	AAWR02044485.1	=	NW_001871021.1	Primary Assembly	25456	na
scaffold_427	unplaced-scaffold	na	na	AAWR02044494.1	=	NW_001871054.1	Primary Assembly	25200	na
scaffold_428	unplaced-scaffold	na	na	AAWR02044495.1	=	NW_001871065.1	Primary Assembly	24942	na
scaffold_430	unplaced-scaffold	na	na	AAWR02044499.1	=	NW_001871087.1	Primary Assembly	24829	na
scaffold_431	unplaced-scaffold	na	na	AAWR02044500.1	=	NW_001871098.1	Primary Assembly	24792	na
scaffold_432	unplaced-scaffold	na	na	AAWR02044501.1	=	NW_001871109.1	Primary Assembly	24655	na
scaffold_435	unplaced-scaffold	na	na	AAWR02044510.1	=	NW_001871142.1	Primary Assembly	24451	na
scaffold_436	unplaced-scaffold	na	na	AAWR02044511.1	=	NW_001871153.1	Primary Assembly	24230	na
scaffold_444	unplaced-scaffold	na	na	AAWR02044536.1	=	NW_001871241.1	Primary Assembly	23825	na
scaffold_447	unplaced-scaffold	na	na	AAWR02044544.1	=	NW_001871274.1	Primary Assembly	23759	na
scaffold_454	unplaced-scaffold	na	na	AAWR02044560.1	=	NW_001871351.1	Primary Assembly	23276	na
scaffold_461	unplaced-scaffold	na	na	AAWR02044576.1	=	NW_001871428.1	Primary Assembly	22904	na
scaffold_462	unplaced-scaffold	na	na	AAWR02044577.1	=	NW_001871439.1	Primary Assembly	22754	na
scaffold_464	unplaced-scaffold	na	na	AAWR02044580.1	=	NW_001871461.1	Primary Assembly	22650	na
scaffold_469	unplaced-scaffold	na	na	AAWR02044592.1	=	NW_001871516.1	Primary Assembly	22229	na
scaffold_471	unplaced-scaffold	na	na	AAWR02044597.1	=	NW_001871538.1	Primary Assembly	21827	na
scaffold_472	unplaced-scaffold	na	na	AAWR02044598.1	=	NW_001871549.1	Primary Assembly	21758	na
scaffold_476	unplaced-scaffold	na	na	AAWR02044608.1	=	NW_001871593.1	Primary Assembly	21646	na
scaffold_478	unplaced-scaffold	na	na	AAWR02044611.1	=	NW_001871615.1	Primary Assembly	21452	na
scaffold_482	unplaced-scaffold	na	na	AAWR02044627.1	=	NW_001871659.1	Primary Assembly	21270	na
scaffold_484	unplaced-scaffold	na	na	AAWR02044631.1	=	NW_001871681.1	Primary Assembly	21118	na
scaffold_486	unplaced-scaffold	na	na	AAWR02044634.1	=	NW_001871703.1	Primary Assembly	21097	na
scaffold_487	unplaced-scaffold	na	na	AAWR02044635.1	=	NW_001871714.1	Primary Assembly	21072	na
scaffold_490	unplaced-scaffold	na	na	AAWR02044641.1	=	NW_001871747.1	Primary Assembly	20935	na
scaffold_492	unplaced-scaffold	na	na	AAWR02044646.1	=	NW_001871769.1	Primary Assembly	20717	na
scaffold_496	unplaced-scaffold	na	na	AAWR02044657.1	=	NW_001871813.1	Primary Assembly	20396	na
scaffold_497	unplaced-scaffold	na	na	AAWR02044658.1	=	NW_001871824.1	Primary Assembly	20356	na
scaffold_502	unplaced-scaffold	na	na	AAWR02044667.1	=	NW_001871879.1	Primary Assembly	20154	na
scaffold_503	unplaced-scaffold	na	na	AAWR02044668.1	=	NW_001871890.1	Primary Assembly	20118	na
scaffold_510	unplaced-scaffold	na	na	AAWR02044691.1	=	NW_001871967.1	Primary Assembly	19955	na
scaffold_512	unplaced-scaffold	na	na	AAWR02044694.1	=	NW_001871989.1	Primary Assembly	19868	na
scaffold_513	unplaced-scaffold	na	na	AAWR02044695.1	=	NW_001872000.1	Primary Assembly	19866	na
scaffold_514	unplaced-scaffold	na	na	AAWR02044696.1	=	NW_001872011.1	Primary Assembly	19863	na
scaffold_516	unplaced-scaffold	na	na	AAWR02044701.1	=	NW_001872033.1	Primary Assembly	19805	na
scaffold_517	unplaced-scaffold	na	na	AAWR02044702.1	=	NW_001872044.1	Primary Assembly	19795	na
scaffold_518	unplaced-scaffold	na	na	AAWR02044703.1	=	NW_001872055.1	Primary Assembly	19767	na
scaffold_519	unplaced-scaffold	na	na	AAWR02044704.1	=	NW_001872066.1	Primary Assembly	19589	na
scaffold_520	unplaced-scaffold	na	na	AAWR02044705.1	=	NW_001872077.1	Primary Assembly	19450	na
scaffold_521	unplaced-scaffold	na	na	AAWR02044706.1	=	NW_001872088.1	Primary Assembly	19431	na
scaffold_524	unplaced-scaffold	na	na	AAWR02044711.1	=	NW_001872121.1	Primary Assembly	19257	na
scaffold_529	unplaced-scaffold	na	na	AAWR02044725.1	=	NW_001872176.1	Primary Assembly	19079	na
scaffold_530	unplaced-scaffold	na	na	AAWR02044726.1	=	NW_001872187.1	Primary Assembly	19040	na
scaffold_541	unplaced-scaffold	na	na	AAWR02044753.1	=	NW_001872308.1	Primary Assembly	18632	na
scaffold_544	unplaced-scaffold	na	na	AAWR02044759.1	=	NW_001872341.1	Primary Assembly	18515	na
scaffold_546	unplaced-scaffold	na	na	AAWR02044762.1	=	NW_001872363.1	Primary Assembly	18410	na
scaffold_547	unplaced-scaffold	na	na	AAWR02044763.1	=	NW_001872374.1	Primary Assembly	18349	na
scaffold_549	unplaced-scaffold	na	na	AAWR02044766.1	=	NW_001872396.1	Primary Assembly	18327	na
scaffold_550	unplaced-scaffold	na	na	AAWR02044767.1	=	NW_001872407.1	Primary Assembly	18169	na
scaffold_551	unplaced-scaffold	na	na	AAWR02044768.1	=	NW_001872418.1	Primary Assembly	18135	na
scaffold_553	unplaced-scaffold	na	na	AAWR02044774.1	=	NW_001872440.1	Primary Assembly	18071	na
scaffold_556	unplaced-scaffold	na	na	AAWR02044783.1	=	NW_001872473.1	Primary Assembly	17973	na
scaffold_559	unplaced-scaffold	na	na	AAWR02044789.1	=	NW_001872506.1	Primary Assembly	17910	na
scaffold_560	unplaced-scaffold	na	na	AAWR02044790.1	=	NW_001872517.1	Primary Assembly	17835	na
scaffold_561	unplaced-scaffold	na	na	AAWR02044791.1	=	NW_001872528.1	Primary Assembly	17826	na
scaffold_563	unplaced-scaffold	na	na	AAWR02044796.1	=	NW_001872550.1	Primary Assembly	17775	na
scaffold_567	unplaced-scaffold	na	na	AAWR02044806.1	=	NW_001872594.1	Primary Assembly	17666	na
scaffold_569	unplaced-scaffold	na	na	AAWR02044809.1	=	NW_001872616.1	Primary Assembly	17607	na
scaffold_573	unplaced-scaffold	na	na	AAWR02044816.1	=	NW_001872660.1	Primary Assembly	17513	na
scaffold_574	unplaced-scaffold	na	na	AAWR02044817.1	=	NW_001872671.1	Primary Assembly	17487	na
scaffold_575	unplaced-scaffold	na	na	AAWR02044818.1	=	NW_001872682.1	Primary Assembly	17424	na
scaffold_579	unplaced-scaffold	na	na	AAWR02044828.1	=	NW_001872726.1	Primary Assembly	17283	na
scaffold_582	unplaced-scaffold	na	na	AAWR02044837.1	=	NW_001872759.1	Primary Assembly	17131	na
scaffold_584	unplaced-scaffold	na	na	AAWR02044842.1	=	NW_001872781.1	Primary Assembly	17076	na
scaffold_588	unplaced-scaffold	na	na	AAWR02044853.1	=	NW_001872825.1	Primary Assembly	16944	na
scaffold_589	unplaced-scaffold	na	na	AAWR02044854.1	=	NW_001872836.1	Primary Assembly	16909	na
scaffold_590	unplaced-scaffold	na	na	AAWR02044855.1	=	NW_001872847.1	Primary Assembly	16873	na
scaffold_591	unplaced-scaffold	na	na	AAWR02044856.1	=	NW_001872858.1	Primary Assembly	16867	na
scaffold_592	unplaced-scaffold	na	na	AAWR02044857.1	=	NW_001872869.1	Primary Assembly	16832	na
scaffold_594	unplaced-scaffold	na	na	AAWR02044864.1	=	NW_001872891.1	Primary Assembly	16742	na
scaffold_599	unplaced-scaffold	na	na	AAWR02044881.1	=	NW_001872946.1	Primary Assembly	16659	na
scaffold_600	unplaced-scaffold	na	na	AAWR02044882.1	=	NW_001872957.1	Primary Assembly	16527	na
scaffold_602	unplaced-scaffold	na	na	AAWR02044885.1	=	NW_001872979.1	Primary Assembly	16418	na
scaffold_603	unplaced-scaffold	na	na	AAWR02044886.1	=	NW_001872990.1	Primary Assembly	16412	na
scaffold_605	unplaced-scaffold	na	na	AAWR02044889.1	=	NW_001873012.1	Primary Assembly	16288	na
scaffold_608	unplaced-scaffold	na	na	AAWR02044894.1	=	NW_001873045.1	Primary Assembly	16201	na
scaffold_610	unplaced-scaffold	na	na	AAWR02044898.1	=	NW_001873067.1	Primary Assembly	16165	na
scaffold_614	unplaced-scaffold	na	na	AAWR02044907.1	=	NW_001873111.1	Primary Assembly	15997	na
scaffold_619	unplaced-scaffold	na	na	AAWR02044917.1	=	NW_001873166.1	Primary Assembly	15895	na
scaffold_620	unplaced-scaffold	na	na	AAWR02044918.1	=	NW_001873177.1	Primary Assembly	15790	na
scaffold_621	unplaced-scaffold	na	na	AAWR02044919.1	=	NW_001873188.1	Primary Assembly	15775	na
scaffold_622	unplaced-scaffold	na	na	AAWR02044920.1	=	NW_001873199.1	Primary Assembly	15706	na
scaffold_630	unplaced-scaffold	na	na	AAWR02044941.1	=	NW_001873287.1	Primary Assembly	15521	na
scaffold_631	unplaced-scaffold	na	na	AAWR02044942.1	=	NW_001873298.1	Primary Assembly	15515	na
scaffold_633	unplaced-scaffold	na	na	AAWR02044946.1	=	NW_001873320.1	Primary Assembly	15467	na
scaffold_636	unplaced-scaffold	na	na	AAWR02044954.1	=	NW_001873353.1	Primary Assembly	15339	na
scaffold_639	unplaced-scaffold	na	na	AAWR02044961.1	=	NW_001873386.1	Primary Assembly	15269	na
scaffold_642	unplaced-scaffold	na	na	AAWR02044967.1	=	NW_001873419.1	Primary Assembly	15194	na
scaffold_643	unplaced-scaffold	na	na	AAWR02044968.1	=	NW_001873430.1	Primary Assembly	15174	na
scaffold_645	unplaced-scaffold	na	na	AAWR02044974.1	=	NW_001873452.1	Primary Assembly	15152	na
scaffold_646	unplaced-scaffold	na	na	AAWR02044975.1	=	NW_001873463.1	Primary Assembly	15123	na
scaffold_649	unplaced-scaffold	na	na	AAWR02044980.1	=	NW_001873496.1	Primary Assembly	15011	na
scaffold_651	unplaced-scaffold	na	na	AAWR02044984.1	=	NW_001873518.1	Primary Assembly	14973	na
scaffold_652	unplaced-scaffold	na	na	AAWR02044985.1	=	NW_001873529.1	Primary Assembly	14967	na
scaffold_654	unplaced-scaffold	na	na	AAWR02044988.1	=	NW_001873551.1	Primary Assembly	14907	na
scaffold_657	unplaced-scaffold	na	na	AAWR02044993.1	=	NW_001873584.1	Primary Assembly	14820	na
scaffold_660	unplaced-scaffold	na	na	AAWR02045000.1	=	NW_001873617.1	Primary Assembly	14787	na
scaffold_666	unplaced-scaffold	na	na	AAWR02045011.1	=	NW_001873683.1	Primary Assembly	14685	na
scaffold_667	unplaced-scaffold	na	na	AAWR02045012.1	=	NW_001873694.1	Primary Assembly	14655	na
scaffold_669	unplaced-scaffold	na	na	AAWR02045015.1	=	NW_001873716.1	Primary Assembly	14614	na
scaffold_671	unplaced-scaffold	na	na	AAWR02045019.1	=	NW_001873738.1	Primary Assembly	14580	na
scaffold_672	unplaced-scaffold	na	na	AAWR02045020.1	=	NW_001873749.1	Primary Assembly	14555	na
scaffold_678	unplaced-scaffold	na	na	AAWR02045037.1	=	NW_001873815.1	Primary Assembly	14448	na
scaffold_680	unplaced-scaffold	na	na	AAWR02045041.1	=	NW_001873837.1	Primary Assembly	14430	na
scaffold_681	unplaced-scaffold	na	na	AAWR02045042.1	=	NW_001873848.1	Primary Assembly	14422	na
scaffold_683	unplaced-scaffold	na	na	AAWR02045046.1	=	NW_001873870.1	Primary Assembly	14402	na
scaffold_684	unplaced-scaffold	na	na	AAWR02045047.1	=	NW_001873881.1	Primary Assembly	14381	na
scaffold_686	unplaced-scaffold	na	na	AAWR02045051.1	=	NW_001873903.1	Primary Assembly	14358	na
scaffold_687	unplaced-scaffold	na	na	AAWR02045052.1	=	NW_001873914.1	Primary Assembly	14335	na
scaffold_688	unplaced-scaffold	na	na	AAWR02045053.1	=	NW_001873925.1	Primary Assembly	14314	na
scaffold_690	unplaced-scaffold	na	na	AAWR02045057.1	=	NW_001873947.1	Primary Assembly	14298	na
scaffold_695	unplaced-scaffold	na	na	AAWR02045071.1	=	NW_001874002.1	Primary Assembly	14221	na
scaffold_696	unplaced-scaffold	na	na	AAWR02045072.1	=	NW_001874013.1	Primary Assembly	14198	na
scaffold_701	unplaced-scaffold	na	na	AAWR02045085.1	=	NW_001874068.1	Primary Assembly	14075	na
scaffold_703	unplaced-scaffold	na	na	AAWR02045088.1	=	NW_001874090.1	Primary Assembly	14010	na
scaffold_705	unplaced-scaffold	na	na	AAWR02045091.1	=	NW_001874112.1	Primary Assembly	13977	na
scaffold_707	unplaced-scaffold	na	na	AAWR02045094.1	=	NW_001874134.1	Primary Assembly	13959	na
scaffold_708	unplaced-scaffold	na	na	AAWR02045095.1	=	NW_001874145.1	Primary Assembly	13950	na
scaffold_709	unplaced-scaffold	na	na	AAWR02045096.1	=	NW_001874156.1	Primary Assembly	13909	na
scaffold_711	unplaced-scaffold	na	na	AAWR02045099.1	=	NW_001874178.1	Primary Assembly	13889	na
scaffold_715	unplaced-scaffold	na	na	AAWR02045106.1	=	NW_001874222.1	Primary Assembly	13746	na
scaffold_717	unplaced-scaffold	na	na	AAWR02045109.1	=	NW_001874244.1	Primary Assembly	13699	na
scaffold_718	unplaced-scaffold	na	na	AAWR02045110.1	=	NW_001874255.1	Primary Assembly	13604	na
scaffold_719	unplaced-scaffold	na	na	AAWR02045111.1	=	NW_001874266.1	Primary Assembly	13600	na
scaffold_726	unplaced-scaffold	na	na	AAWR02045127.1	=	NW_001874343.1	Primary Assembly	13523	na
scaffold_727	unplaced-scaffold	na	na	AAWR02045128.1	=	NW_001874354.1	Primary Assembly	13504	na
scaffold_730	unplaced-scaffold	na	na	AAWR02045133.1	=	NW_001874387.1	Primary Assembly	13411	na
scaffold_732	unplaced-scaffold	na	na	AAWR02045136.1	=	NW_001874409.1	Primary Assembly	13352	na
scaffold_733	unplaced-scaffold	na	na	AAWR02045137.1	=	NW_001874420.1	Primary Assembly	13350	na
scaffold_734	unplaced-scaffold	na	na	AAWR02045138.1	=	NW_001874431.1	Primary Assembly	13334	na
scaffold_735	unplaced-scaffold	na	na	AAWR02045139.1	=	NW_001874442.1	Primary Assembly	13301	na
scaffold_737	unplaced-scaffold	na	na	AAWR02045142.1	=	NW_001874464.1	Primary Assembly	13243	na
scaffold_739	unplaced-scaffold	na	na	AAWR02045145.1	=	NW_001874486.1	Primary Assembly	13229	na
scaffold_740	unplaced-scaffold	na	na	AAWR02045146.1	=	NW_001874497.1	Primary Assembly	13223	na
scaffold_741	unplaced-scaffold	na	na	AAWR02045147.1	=	NW_001874508.1	Primary Assembly	13221	na
scaffold_742	unplaced-scaffold	na	na	AAWR02045148.1	=	NW_001874519.1	Primary Assembly	13116	na
scaffold_743	unplaced-scaffold	na	na	AAWR02045149.1	=	NW_001874530.1	Primary Assembly	13087	na
scaffold_744	unplaced-scaffold	na	na	AAWR02045150.1	=	NW_001874541.1	Primary Assembly	13073	na
scaffold_748	unplaced-scaffold	na	na	AAWR02045158.1	=	NW_001874585.1	Primary Assembly	13045	na
scaffold_753	unplaced-scaffold	na	na	AAWR02045169.1	=	NW_001874640.1	Primary Assembly	12992	na
scaffold_755	unplaced-scaffold	na	na	AAWR02045173.1	=	NW_001874662.1	Primary Assembly	12915	na
scaffold_758	unplaced-scaffold	na	na	AAWR02045178.1	=	NW_001874695.1	Primary Assembly	12835	na
scaffold_761	unplaced-scaffold	na	na	AAWR02045185.1	=	NW_001874728.1	Primary Assembly	12807	na
scaffold_764	unplaced-scaffold	na	na	AAWR02045193.1	=	NW_001874761.1	Primary Assembly	12771	na
scaffold_765	unplaced-scaffold	na	na	AAWR02045194.1	=	NW_001874772.1	Primary Assembly	12744	na
scaffold_766	unplaced-scaffold	na	na	AAWR02045195.1	=	NW_001874783.1	Primary Assembly	12705	na
scaffold_767	unplaced-scaffold	na	na	AAWR02045196.1	=	NW_001874794.1	Primary Assembly	12701	na
scaffold_768	unplaced-scaffold	na	na	AAWR02045197.1	=	NW_001874805.1	Primary Assembly	12689	na
scaffold_769	unplaced-scaffold	na	na	AAWR02045198.1	=	NW_001874816.1	Primary Assembly	12679	na
scaffold_772	unplaced-scaffold	na	na	AAWR02045204.1	=	NW_001874849.1	Primary Assembly	12650	na
scaffold_773	unplaced-scaffold	na	na	AAWR02045205.1	=	NW_001874860.1	Primary Assembly	12625	na
scaffold_774	unplaced-scaffold	na	na	AAWR02045206.1	=	NW_001874871.1	Primary Assembly	12610	na
scaffold_775	unplaced-scaffold	na	na	AAWR02045207.1	=	NW_001874882.1	Primary Assembly	12600	na
scaffold_784	unplaced-scaffold	na	na	AAWR02045229.1	=	NW_001874981.1	Primary Assembly	12375	na
scaffold_785	unplaced-scaffold	na	na	AAWR02045230.1	=	NW_001874992.1	Primary Assembly	12362	na
scaffold_787	unplaced-scaffold	na	na	AAWR02045233.1	=	NW_001875014.1	Primary Assembly	12339	na
scaffold_789	unplaced-scaffold	na	na	AAWR02045236.1	=	NW_001875036.1	Primary Assembly	12302	na
scaffold_790	unplaced-scaffold	na	na	AAWR02045237.1	=	NW_001875047.1	Primary Assembly	12282	na
scaffold_793	unplaced-scaffold	na	na	AAWR02045243.1	=	NW_001875080.1	Primary Assembly	12205	na
scaffold_794	unplaced-scaffold	na	na	AAWR02045244.1	=	NW_001875091.1	Primary Assembly	12192	na
scaffold_795	unplaced-scaffold	na	na	AAWR02045245.1	=	NW_001875102.1	Primary Assembly	12190	na
scaffold_796	unplaced-scaffold	na	na	AAWR02045246.1	=	NW_001875113.1	Primary Assembly	12157	na
scaffold_797	unplaced-scaffold	na	na	AAWR02045247.1	=	NW_001875124.1	Primary Assembly	12150	na
scaffold_798	unplaced-scaffold	na	na	AAWR02045248.1	=	NW_001875135.1	Primary Assembly	12131	na
scaffold_800	unplaced-scaffold	na	na	AAWR02045251.1	=	NW_001875157.1	Primary Assembly	12121	na
scaffold_801	unplaced-scaffold	na	na	AAWR02045252.1	=	NW_001875168.1	Primary Assembly	12073	na
scaffold_803	unplaced-scaffold	na	na	AAWR02045256.1	=	NW_001875190.1	Primary Assembly	12062	na
scaffold_804	unplaced-scaffold	na	na	AAWR02045257.1	=	NW_001875201.1	Primary Assembly	12050	na
