acc,Alias,Assay Type,BioProject,BioSample,Center Name,Consent,DATASTORE_filetype_ss,DATASTORE_provider_ss,DATASTORE_region_ss,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sample_acc,Sample Name,sample_name,sex,SRA_accession,SRA Study,title,AvgSpotLen,Bases,Bytes,MBases,MBytes,AssemblyName
ERR1021673,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100607,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3657861172,2385649378,3657,2275,
ERR1021674,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100608,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3516587116,2285610747,3516,2179,
ERR1021675,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100609,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3207310288,2037896257,3207,1943,
ERR1021676,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100610,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,2931537700,1833298838,2931,1748,
ERR1021677,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100611,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3441418372,2212047085,3441,2109,
ERR1021678,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100612,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2000,Yak1_2,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,3378587044,2047930203,3378,1953,
ERR1021679,Yak1,WGS,PRJEB10854,SAMEA3542237,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100613,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak1_2,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849386,SAMEA3542237,ERS849386,male,ERS849386,ERP012152,Yakutian horse,196,2838969252,1641774286,2838,1565,
ERR1021680,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100614,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2000,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,2513171584,1559823185,2513,1487,
ERR1021681,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100615,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,3039910412,1778526187,3039,1696,
ERR1021682,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100616,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,6310120824,4065417827,6310,3877,
ERR1021683,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100617,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,7757057112,5358107583,7757,5109,
ERR1021684,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100618,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,7708852088,5229807574,7708,4987,
ERR1021685,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100619,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,6266721328,4129315315,6266,3938,
ERR1021686,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100620,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,7013694968,4640644782,7013,4425,
ERR1021687,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100621,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,5957313768,3841036003,5957,3663,
ERR1021688,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100622,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,7197016904,4818730751,7197,4595,
ERR1021689,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100623,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,6076618968,3935370510,6076,3753,
ERR1021690,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100624,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,6078848468,3941919956,6078,3759,
ERR1021691,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100625,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,6154468208,3974455109,6154,3790,
ERR1021692,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100626,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,5117118412,3232935828,5117,3083,
ERR1021693,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100627,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,4637030720,2883844131,4637,2750,
ERR1021694,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100628,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,5534413388,3537463388,5534,3373,
ERR1021695,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100629,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2000,Yak2_2,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,2644927880,1601087901,2644,1526,
ERR1021696,Yak2,WGS,PRJEB10854,SAMEA3542238,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100630,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:44Z,public,Illumina HiSeq 2500,Yak2_2,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849387,SAMEA3542238,ERS849387,female,ERS849387,ERP012152,Yakutian horse,196,2176201524,1257231809,2176,1198,
ERR1021697,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100631,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2000,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849388,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,1160282368,721499962,1160,688,
ERR1021698,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100632,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849388,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,1410904824,827204721,1410,788,
ERR1021699,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100633,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849388,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,3703279664,2386216927,3703,2275,
ERR1021700,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100634,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849388,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,4727346540,3272093235,4727,3120,
ERR1021701,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100635,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849388,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,4578121548,3109605026,4578,2965,
ERR1021702,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100636,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849388,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,3590110244,2365741212,3590,2256,
ERR1021703,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100637,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849388,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,4022474876,2662333344,4022,2538,
ERR1021704,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100638,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849388,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,3437123620,2214177547,3437,2111,
ERR1021705,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100639,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849388,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,4114899852,2756642034,4114,2628,
ERR1021706,Yak3,WGS,PRJEB10854,SAMEA3542239,CENTRE FOR GEOGENETICS,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-11-23,2018-11-16,ERX1100640,CENTRE FOR GEOGENETICS,2015-11-23T17:01:15Z,2015-09-18T11:27:45Z,public,Illumina HiSeq 2500,Yak3_1,PAIRED,RANDOM,GENOMIC,Equus caballus,ILLUMINA,2015-11-24T00:00:00Z,ERS849388,SAMEA3542239,ERS849388,female,ERS849388,ERP012152,Yakutian horse,196,3497457124,2263305694,3497,2158,
