QTL_ID	Symbol	Chromosome	Center_cM	Range_cM	Cood_A_bp	Coord_B_bp	Trait_Name	Significance	FlankMrkA2	FlankMrkA1	FlankMrkB1	FlankMrkB2
29414	WHIMAR	3	306.44	306.44-306.44	75713251	75713291	White markings	Significant				
29415	WHIMAR	3	306.45	306.45-306.45	75714035	75714075	White markings	Significant				
29416	WHIMAR	3	275.45	275.45-275.45	68056248	68056288	White markings	Significant				
29417	WHIMAR	3	155.20	155.20-155.20	38344331	38344371	White markings	Significant				
29418	WHIMAR	3	168.52	168.52-168.52	41635116	41635156	White markings	Significant				
29419	WHIMAR	3	149.66	149.66-149.66	36977319	36977359	White markings	Significant				
29420	WHIMAR	3	294.51	294.51-294.51	72764265	72764305	White markings	Significant				
29421	WHIMAR	3	317.31	317.31-317.31	78398798	78398838	White markings	Significant				
29422	WHIMAR	3	253.25	253.25-253.25	62571479	62571519	White markings	Significant				
29423	WHIMAR	3	78.04	78.04-78.04	19281126	19281166	White markings	Significant				
29424	WHIMAR	3	308.44	308.44-308.44	76206136	76206176	White markings	Significant				
29425	WHIMAR	3	154.01	154.01-154.01	38050748	38050788	White markings	Significant				
29426	WHIMAR	3	317.33	317.33-317.33	78402153	78402193	White markings	Significant				
29427	WHIMAR	3	317.33	317.33-317.33	78402229	78402269	White markings	Significant				
126957	FACEMRK	3	314.83	314.83-314.83	77784952	77784992	face markings	Significant				
140361	WHIMAR	3	197.73	197.73-197.73	48853515	48853555	White markings	Significant				
140362	WHIMAR	3	221.89	221.89-221.89	54823122	54823162	White markings	Significant				
140363	WHIMAR	3	201.08	201.08-201.08	49680438	49680478	White markings	Significant				
140364	WHIMAR	3	208.75	208.75-208.75	51575765	51575805	White markings	Significant				
140365	WHIMAR	3	274.82	274.82-274.82	67900723	67900763	White markings	Significant				
140366	WHIMAR	3	319.85	319.85-319.85	79024445	79024485	White markings	Significant				
140367	WHIMAR	3	294.51	294.51-294.51	72764848	72764888	White markings	Significant				
140368	WHIMAR	3	193.00	193.00-193.00	47684840	47684880	White markings	Significant				
140369	WHIMAR	3	293.30	293.30-293.30	72464525	72464565	White markings	Significant				
140370	WHIMAR	3	173.35	173.35-173.35	42828353	42828393	White markings	Significant				
140371	WHIMAR	3	213.05	213.05-213.05	52638486	52638526	White markings	Significant				
140372	WHIMAR	3	316.79	316.79-316.79	78269888	78269928	White markings	Significant				
140373	WHIMAR	3	159.38	159.38-159.38	39378941	39378981	White markings	Significant				
140374	WHIMAR	3	241.75	241.75-241.75	59730087	59730127	White markings	Significant				
140375	WHIMAR	3	305.24	305.24-305.24	75416319	75416359	White markings	Significant				
140376	WHIMAR	3	320.90	320.90-320.90	79284927	79284967	White markings	Significant				
140377	WHIMAR	3	314.32	314.32-314.32	77657929	77658029	White markings	Significant				
140378	WHIMAR	3	197.59	197.59-197.59	48818010	48818110	White markings	Significant				
29388	WHIMAR	16	130.80	130.80-130.80	20147019	20147059	White markings	Significant				
29389	WHIMAR	16	131.01	131.01-131.01	20179779	20179819	White markings	Significant				
29394	WHIMAR	16	138.17	138.17-138.17	21281984	21282024	White markings	Significant				
29428	WHIMAR	16	129.15	129.15-129.15	19894030	19894070	White markings	Significant				
29429	WHIMAR	16	129.15	129.15-129.15	19893950	19893990	White markings	Significant				
29430	WHIMAR	16	114.19	114.19-114.19	17588657	17588697	White markings	Significant				
29431	WHIMAR	16	140.73	140.73-140.73	21677034	21677074	White markings	Significant				
29432	WHIMAR	16	133.39	133.39-133.39	20546053	20546093	White markings	Significant				
29433	WHIMAR	16	133.39	133.39-133.39	20546246	20546286	White markings	Significant				
29434	WHIMAR	16	133.14	133.14-133.14	20508662	20508702	White markings	Significant				
29435	WHIMAR	16	134.52	134.52-134.52	20720332	20720372	White markings	Significant				
29436	WHIMAR	16	137.85	137.85-137.85	21232955	21232995	White markings	Significant				
29437	WHIMAR	16	129.11	129.11-129.11	19887926	19887966	White markings	Significant				
29438	WHIMAR	16	115.27	115.27-115.27	17754769	17754809	White markings	Significant				
29439	WHIMAR	16	155.08	155.08-155.08	23886943	23886983	White markings	Significant				
29440	WHIMAR	16	117.06	117.06-117.06	18031469	18031509	White markings	Significant				
126955	FACEMRK	16	130.80	130.80-130.80	20147019	20147059	face markings	Significant				
126956	LEGMRK	16	130.80	130.80-130.80	20147019	20147059	leg markings	Significant				
29441	WHIMAR	23	3.60	3.60-3.60	2603873	2603913	White markings	Significant				
29442	WHIMAR	23	5.57	5.57-5.57	4031476	4031516	White markings	Significant				
29443	WHIMAR	23	3.64	3.64-3.64	2637638	2637678	White markings	Significant				
29444	WHIMAR	23	5.44	5.44-5.44	3939035	3939075	White markings	Significant				
29445	WHIMAR	25	39.26	39.26-39.26	29621812	29621852	White markings	Significant				
29446	WHIMAR	25	32.42	32.42-32.42	24465271	24465311	White markings	Significant				
